ID CIP2,CIP2,ID CIP4,CIP4,ID CIP6,CIP6,ID Year,Year,ID Degree,Degree,Completions,Slug CIP6,Geography,ID Geography,Slug Geography
"52","Business","5202","Business Administration, Management, & Operations","520299","Other Business Administration, Management, & Operations",2012,"2012",5,"Bachelors Degree",4,"other-business-administration-management-operations","Chicago, IL","16000US1714000","chicago-il"
"39","Theology","3906","Theological & Ministerial Studies","390606","Talmudic Studies",2012,"2012",5,"Bachelors Degree",4,"talmudic-studies","Chicago, IL","16000US1714000","chicago-il"
"50","Visual & Performing Arts","5009","Music","500907","Keyboard Instruments",2012,"2012",5,"Bachelors Degree",3,"keyboard-instruments","Chicago, IL","16000US1714000","chicago-il"
"12","Personal & Culinary Services","1205","Culinary Arts & Related Services","120503","Culinary Arts & Chef Training",2012,"2012",5,"Bachelors Degree",34,"culinary-arts-chef-training","Chicago, IL","16000US1714000","chicago-il"
"39","Theology","3907","Pastoral Counseling & Specialized Ministries","390701","Pastoral Studies & Counseling",2012,"2012",5,"Bachelors Degree",45,"pastoral-studies-counseling","Chicago, IL","16000US1714000","chicago-il"
"39","Theology","3907","Pastoral Counseling & Specialized Ministries","390702","Youth Ministry",2012,"2012",5,"Bachelors Degree",47,"youth-ministry","Chicago, IL","16000US1714000","chicago-il"
"52","Business","5203","Accounting","520301","Accounting",2012,"2012",5,"Bachelors Degree",760,"accounting-520301","Chicago, IL","16000US1714000","chicago-il"
"50","Visual & Performing Arts","5009","Music","500904","Music Theory & Composition",2012,"2012",5,"Bachelors Degree",4,"music-theory-composition","Chicago, IL","16000US1714000","chicago-il"
"11","Computer and Information Sciences and Support Services","1110","Computer Technology Administration & Management","111003","Computer & Information Systems Security",2012,"2012",5,"Bachelors Degree",32,"computer-information-systems-security","Chicago, IL","16000US1714000","chicago-il"
"39","Theology","3999","Other Theology & Religious Vocations","399999","Other Theology & Religious Vocations",2012,"2012",5,"Bachelors Degree",8,"other-theology-religious-vocations-399999","Chicago, IL","16000US1714000","chicago-il"
"11","Computer and Information Sciences and Support Services","1109","Networking & Telecommunication Systems","110901","Computer Systems Networking & Telecommunications",2012,"2012",5,"Bachelors Degree",24,"computer-systems-networking-telecommunications","Chicago, IL","16000US1714000","chicago-il"
"40","Physical Sciences","4005","Chemistry","400501","General Chemistry",2012,"2012",5,"Bachelors Degree",196,"general-chemistry","Chicago, IL","16000US1714000","chicago-il"
"52","Business","5205","Business Communications","520501","Business & Corporate Communications",2012,"2012",5,"Bachelors Degree",33,"business-corporate-communications","Chicago, IL","16000US1714000","chicago-il"
"50","Visual & Performing Arts","5009","Music","500903","General Music Performance",2012,"2012",5,"Bachelors Degree",34,"general-music-performance","Chicago, IL","16000US1714000","chicago-il"
"11","Computer and Information Sciences and Support Services","1108","Computer Software & Media Applications","110899","Other Computer Software & Media Applications",2012,"2012",5,"Bachelors Degree",8,"other-computer-software-media-applications","Chicago, IL","16000US1714000","chicago-il"
"40","Physical Sciences","4005","Chemistry","400599","Other Chemistry",2012,"2012",5,"Bachelors Degree",22,"other-chemistry","Chicago, IL","16000US1714000","chicago-il"
"11","Computer and Information Sciences and Support Services","1108","Computer Software & Media Applications","110803","Computer Graphics",2012,"2012",5,"Bachelors Degree",1,"computer-graphics","Chicago, IL","16000US1714000","chicago-il"
"40","Physical Sciences","4006","Geological & Earth Sciences","400601","General Geology & Earch Science",2012,"2012",5,"Bachelors Degree",19,"general-geology-earch-science","Chicago, IL","16000US1714000","chicago-il"
"52","Business","5206","Managerial Economics","520601","Business & Managerial Economics",2012,"2012",5,"Bachelors Degree",104,"business-managerial-economics","Chicago, IL","16000US1714000","chicago-il"
"50","Visual & Performing Arts","5009","Music","500901","General Music",2012,"2012",5,"Bachelors Degree",105,"general-music","Chicago, IL","16000US1714000","chicago-il"
"11","Computer and Information Sciences and Support Services","1108","Computer Software & Media Applications","110801","Web Page, Digital, & Information Resource Design",2012,"2012",5,"Bachelors Degree",56,"web-page-digital-information-resource-design","Chicago, IL","16000US1714000","chicago-il"
"40","Physical Sciences","4006","Geological & Earth Sciences","400603","Geophysics & Seismology",2012,"2012",5,"Bachelors Degree",10,"geophysics-seismology","Chicago, IL","16000US1714000","chicago-il"
"11","Computer and Information Sciences and Support Services","1107","Computer Science","110701","Computer Science",2012,"2012",5,"Bachelors Degree",229,"computer-science-110701","Chicago, IL","16000US1714000","chicago-il"
"40","Physical Sciences","4008","Physics","400801","General Physics",2012,"2012",5,"Bachelors Degree",93,"general-physics","Chicago, IL","16000US1714000","chicago-il"
"52","Business","5207","Entrepreneurial & Small Business Operations","520701","Entrepreneurial Studies",2012,"2012",5,"Bachelors Degree",28,"entrepreneurial-studies","Chicago, IL","16000US1714000","chicago-il"
"50","Visual & Performing Arts","5007","Fine & Studio Arts","500799","Other Fine Arts & Art Studies",2012,"2012",5,"Bachelors Degree",48,"other-fine-arts-art-studies","Chicago, IL","16000US1714000","chicago-il"
"42","Psychology","4201","General Psychology","420101","General Psychology",2012,"2012",5,"Bachelors Degree",1571,"general-psychology-420101","Chicago, IL","16000US1714000","chicago-il"
